country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
JPN,1995,1,short,3,0,501276.06,2810.91,1124.58,753.99,718.34,2420.52,3658.17,3223.18,3317.6,4434.22,8266.42,15665.51,21962.31,30542.99,47240.38,59870.22,60965.37,68540.25,77965.15,87795.95,56525.04,31270.91,24973.91,6297,.,.
JPN,1995,1,short,3,1,10830.27,86.25,48.69,19.12,19.09,20.12,39.51,52.51,67.2,83.15,203.29,399.06,537.87,718.31,1232.8,1380.06,1471.73,1546.12,1538.15,1367.25,933.15,434.1,352.44,81.65,.,.
JPN,1995,1,short,3,2,165645.31,25.34,90.07,147.79,146.63,243.32,292.21,398.44,524.62,963.9,2213.46,5144.69,8285.21,13031.47,22151.92,28163.64,25184.76,22931.16,20369.24,15337.44,11149.78,4187.67,3570.28,617.39,.,.
JPN,1995,1,short,3,3,1868.06,13.18,12.42,5.03,7.03,8.04,22.24,14.12,17.28,18.22,32.33,41.37,71.55,91.57,164.86,198.79,214.99,278.35,282.32,374.37,237.35,137.02,112.56,24.46,.,.
JPN,1995,1,short,3,4,9648.07,33.47,16.57,11.06,9.04,23.16,30.42,43.46,47.94,82.2,153.88,358.78,485.47,722.67,1095.2,1206.89,1104.43,1233.77,1386.2,1603.44,1079.55,523.89,431.58,92.32,.,.
JPN,1995,1,short,3,5,1714.31,0,0,0,0,2.02,14.19,22.25,17.35,36.56,53.7,70.85,101.08,113.07,128.03,106.59,113.62,164.44,278.25,492.33,277.96,214.37,158.46,55.91,.,.
JPN,1995,1,short,3,6,4568.26,49.71,108.7,48.26,44.21,90.49,125.38,86.82,61.02,73.93,124.34,189.83,205.81,297.98,433.47,554.41,551.75,597.27,530.16,394.72,281.25,113.47,99.49,13.99,.,.
JPN,1995,1,short,3,7,74964.49,85.16,43.52,37.21,52.25,128.82,220.62,247.55,370.88,579.67,1060.56,2068.07,2741.48,4006.81,6012.13,7986.96,8751.25,10653.52,13228.25,16689.78,10302.4,6387.37,5041.05,1346.33,.,.
JPN,1995,1,short,3,8,71187.43,11.2,8.31,6.05,17.1,25.17,45.58,68.68,172.07,331.57,775.87,1633.57,2344.88,3134.85,4920.31,6799.24,8119.31,10785.5,14307.9,17680.25,11375.94,6304.31,5052.77,1251.54,.,.
JPN,1995,1,short,3,9,5624.06,1.02,0,0,0,7.05,7.08,12.11,17.3,32.46,62.74,142.49,158.48,267.05,404.47,667.97,834.15,1022.94,1075.58,911.16,598.76,312.4,245.98,66.42,.,.
JPN,1995,1,short,3,10,45802.23,92.27,102.52,36.21,28.13,37.21,57.66,56.51,55.94,97.24,174.86,334.16,503.12,791.25,1609.08,2850.42,4207.96,6948.15,10670.94,17148.6,10111.1,7037.49,5455.04,1582.45,.,.
JPN,1995,1,short,3,11,27387.14,33.65,29.25,19.25,31.47,60.33,86.98,83.77,91.57,80.01,163.76,238.19,381,681.37,1385.45,2660.75,3681.09,5170.83,6123.7,6384.73,4194.51,2190.22,1728.94,461.28,.,.
JPN,1995,1,short,3,12,22345.42,20.27,6.21,3.02,8.03,17.1,32.37,59.56,143.43,293.85,689.66,1372.48,1862.08,2326.7,2901.34,2634.82,2165.78,2256.75,2601.14,2950.83,1859.7,1091.13,870.77,220.36,.,.
JPN,1995,1,short,3,13,1592.72,4.05,2.07,1.01,2.01,1.01,10.11,6.05,8.13,10.12,35.36,43.38,58.45,91.57,135.76,222.04,236.24,208.81,223.47,293.06,177.03,116.03,82.19,33.84,.,.
JPN,1995,1,short,3,14,10207.58,9.13,4.14,3.02,7.03,7.04,14.16,17.15,35.6,26.33,81.86,136.25,201.61,342.24,576.19,912.97,1162.77,1606.2,2180.95,2882.93,1758.02,1124.91,861.53,263.38,.,.
JPN,1995,1,short,3,15,2946.85,2139.73,203.95,49.26,43.18,45.25,40.44,26.23,16.27,20.25,25.26,24.21,28.22,30.19,40.21,45.18,35.16,52.44,42.81,38.62,18.74,19.89,16.39,3.49,.,.
JPN,1995,1,short,3,16,44943.87,206.48,448.15,367.72,303.14,1704.39,2619.21,2027.97,1670.99,1704.76,2415.49,3468.13,3996.01,3895.9,4049.15,3479.48,3130.38,3084,3126.1,3246.43,2169.8,1076.63,894.45,182.18,.,.
JPN,1996,1,short,3,0,488605.01,2533.75,1038.46,551.67,562.39,2164.28,3299.64,3099.53,3231.42,4432.7,7612.87,16436.58,20723.16,29153.05,46321.3,59945.91,62729.63,65304.46,73589.66,85874.54,55659.39,30215.14,23807.75,6407.4,.,.
JPN,1996,1,short,3,1,10189.41,79.83,58.35,12.02,17.09,14.09,27.35,39.45,54.68,89.2,196.44,387.58,487.49,616.34,1087.67,1452.17,1464.6,1413.07,1386.67,1305.31,895.58,409.72,329.14,80.58,.,.
JPN,1996,1,short,3,2,170968.65,22.23,105.17,119.22,111.21,225.91,294.21,373.9,506.17,980.61,2156.89,5657.12,7969.61,12757.07,22515.35,29218.32,27369.14,23278.03,20828.81,16479.68,12220.64,4259.04,3600.64,658.4,.,.
JPN,1996,1,short,3,3,1812.93,24.25,16.66,4.01,9.02,12.05,20.25,16.17,14.17,17.26,20.28,54.48,61.43,89.6,134.72,193.92,220.95,259,313.03,331.68,214.02,117.66,89.62,28.04,.,.
JPN,1996,1,short,3,4,8484.21,17.18,21.87,5.01,12.02,9.04,26.29,35.37,40.52,59.78,152.92,307.77,404.85,644.29,971.66,1101.25,1043.35,1087.31,1147.99,1395.75,888.23,507.51,403.59,103.92,.,.
JPN,1996,1,short,3,5,1452.16,1.01,0,0,4.01,6.02,9.1,20.21,11.14,30.43,45.61,89.91,86.73,78.64,89.57,89.47,99.44,146.12,206.9,437.85,245.07,192.78,151.92,40.85,.,.
JPN,1996,1,short,3,6,4493.08,37.39,118.73,33.07,41.09,85.41,119.43,80.92,81.06,78.1,91.18,176.61,203.41,290.87,409.91,597.22,586.32,578.25,498.34,385.76,285.56,100.2,88.53,11.67,.,.
JPN,1996,1,short,3,7,73736.82,65.71,42.71,23.05,41.11,126.62,194.34,294.36,393.18,570.89,1010.92,2222.86,2766.39,3855.1,5853.75,7957.91,9029.36,10105.54,12459.15,16723.86,10410.46,6313.4,4851.17,1462.23,.,.
JPN,1996,1,short,3,8,67954.65,11.17,7.29,8.02,16.05,36.26,53.62,100.16,164.14,334.63,734.47,1722.27,2168.33,3003.61,4765.16,6482.18,8004.08,10051.68,13251.77,17039.77,10983.33,6056.44,4851.4,1205.04,.,.
JPN,1996,1,short,3,9,5537.7,1.01,0,0,2,2.01,6.07,8.08,17.21,24.31,60.73,130.12,161.07,255.66,382.82,651.5,861.59,1018.64,988.64,966.24,634.58,331.66,273.28,58.38,.,.
JPN,1996,1,short,3,10,40740.81,62.68,82.29,24.05,29.06,19.08,34.38,49.54,46.58,81.07,130.6,295.65,393.77,689.68,1420.01,2527.04,3986.75,6035.95,9457.02,15375.62,8970.41,6405.22,4835.85,1569.37,.,.
JPN,1996,1,short,3,11,25222.33,40.44,40.63,15.04,24.06,50.22,76.88,79.88,86.11,88.18,120.5,234.1,306.13,576.84,1350.51,2372.16,3422.08,4570.33,5488.86,6279.38,4094.28,2185.11,1693.53,491.58,.,.
JPN,1996,1,short,3,12,21495.93,19.2,6.25,9.02,7.01,11.04,31.36,50.54,111.43,281.79,576.34,1357.81,1788.57,2181.82,2734.06,2678.03,2225.43,2190.42,2378.12,2857.69,1797.46,1060.23,846.51,213.72,.,.
JPN,1996,1,short,3,13,1480.92,2.02,4.17,0,5.01,7.03,9.1,6.06,10.12,15.19,26.31,39.34,49.33,64.41,120.55,225.82,220.86,221.62,191.59,262.4,143.3,119.1,85.25,33.85,.,.
