country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
JPN,1995,1,short,3,0,4539,459,224,188,551,735,735,833,1135,1814,3007,4982,7852,13171,20164,31861,54772,95319,184751,157381,269457,251592,375086,.,.
JPN,1995,1,short,3,1,139,20,6,5,5,8,12,17,21,45,77,122,185,344,465,769,1236,1881,2877,2598,3741,3551,4864,.,.
JPN,1995,1,short,3,2,41,37,44,38,55,59,91,132,247,486,988,1879,3350,6176,9485,13162,18325,24903,32275,31044,36085,35968,36775,.,.
JPN,1995,1,short,3,3,21,5,1,2,2,4,3,4,5,7,8,16,24,46,67,112,222,345,788,661,1181,1134,1457,.,.
JPN,1995,1,short,3,4,54,7,3,2,5,6,10,12,21,34,69,110,186,305,406,577,986,1695,3374,3006,4514,4348,5499,.,.
JPN,1995,1,short,3,5,0,0,0,0,0,3,5,4,9,12,14,23,29,36,36,59,131,340,1036,774,1847,1596,3330,.,.
JPN,1995,1,short,3,6,80,44,14,12,21,25,20,15,19,27,36,47,77,121,187,288,477,648,831,783,978,1002,833,.,.
JPN,1995,1,short,3,7,138,18,11,14,29,44,56,93,148,233,397,622,1030,1676,2690,4574,8513,16173,35121,28685,55039,50785,80195,.,.
JPN,1995,1,short,3,8,18,3,2,4,6,9,16,43,85,170,314,532,806,1372,2290,4243,8619,17493,37205,31674,54323,50903,74549,.,.
JPN,1995,1,short,3,9,2,0,0,0,2,1,3,4,8,14,27,36,69,113,225,436,817,1315,1917,1667,2692,2478,3957,.,.
JPN,1995,1,short,3,10,149,42,11,7,8,12,13,14,25,38,64,114,203,449,960,2199,5552,13046,36086,28152,60641,54955,94260,.,.
JPN,1995,1,short,3,11,54,12,6,8,14,17,19,23,20,36,46,86,175,386,896,1924,4132,7487,13436,11679,18873,17418,27477,.,.
JPN,1995,1,short,3,12,33,3,1,2,4,7,14,36,75,151,263,422,598,809,887,1132,1803,3180,6209,5178,9402,8772,13126,.,.
JPN,1995,1,short,3,13,7,1,0,1,0,2,1,2,3,8,8,13,24,38,75,123,167,273,617,493,1000,828,2016,.,.
JPN,1995,1,short,3,14,15,2,1,2,2,3,4,9,7,18,26,46,88,161,307,608,1284,2666,6067,4895,9693,8679,15689,.,.
JPN,1995,1,short,3,15,3455,83,15,11,10,8,6,4,5,6,5,6,8,11,15,18,42,52,81,52,171,165,208,.,.
JPN,1995,1,short,3,16,333,183,109,79,388,526,462,419,436,530,666,906,1002,1129,1172,1636,2464,3822,6832,6041,9277,9011,10852,.,.
JPN,1996,1,short,3,0,4171,425,169,150,512,668,680,808,1144,1763,2984,4888,7401,12665,19555,30182,51091,87664,170224,145399,248324,230749,346340,.,.
JPN,1996,1,short,3,1,131,24,4,5,3,6,9,14,23,46,70,115,156,297,474,705,1106,1652,2587,2340,3367,3190,4356,.,.
JPN,1996,1,short,3,2,37,43,36,30,53,60,82,127,253,500,1027,1880,3239,6156,9531,13168,18212,24812,32667,31924,35003,34898,35589,.,.
JPN,1996,1,short,3,3,40,7,1,2,3,4,4,4,4,5,10,14,23,37,63,106,203,373,657,559,967,869,1515,.,.
JPN,1996,1,short,3,4,28,9,2,3,2,5,8,10,15,35,56,95,164,266,359,502,851,1368,2767,2320,4171,3912,5617,.,.
JPN,1996,1,short,3,5,2,0,0,1,1,2,4,3,8,11,16,20,20,24,29,48,114,246,868,640,1584,1472,2208,.,.
JPN,1996,1,short,3,6,62,49,10,11,20,24,18,20,20,21,32,48,74,112,195,282,452,594,765,746,824,858,631,.,.
JPN,1996,1,short,3,7,108,17,7,11,30,39,65,98,147,234,404,652,979,1600,2596,4344,7906,14842,33151,27195,51887,47018,79038,.,.
JPN,1996,1,short,3,8,18,3,2,4,9,11,22,41,86,170,313,511,763,1303,2115,3851,7864,15786,33777,28692,49775,47021,65136,.,.
JPN,1996,1,short,3,9,2,0,0,1,0,1,2,4,6,14,24,38,65,105,213,415,797,1178,1915,1658,2726,2649,3156,.,.
JPN,1996,1,short,3,10,103,34,7,8,5,7,11,12,21,30,54,93,175,388,824,1918,4722,11266,30478,23433,52641,46870,84829,.,.
JPN,1996,1,short,3,11,67,17,5,6,12,16,18,22,23,28,42,72,146,369,774,1646,3576,6539,12447,10695,17958,16414,26571,.,.
JPN,1996,1,short,3,12,32,3,3,2,3,6,11,28,73,133,246,422,554,748,874,1071,1714,2833,5665,4696,8714,8205,11552,.,.
JPN,1996,1,short,3,13,3,2,0,1,2,2,1,3,4,6,7,12,16,33,74,106,173,228,520,374,979,826,1830,.,.
JPN,1996,1,short,3,14,10,1,0,1,0,2,4,8,7,13,25,48,77,146,287,531,1136,2373,5674,4608,9028,8416,12437,.,.
JPN,1996,1,short,3,15,3231,74,13,7,7,9,6,4,5,4,5,5,7,5,12,17,33,51,73,73,74,53,189,.,.
JPN,1996,1,short,3,16,298,144,78,56,362,474,417,412,448,513,652,861,944,1075,1137,1470,2233,3523,6212,5445,8627,8078,11685,.,.
JPN,1997,1,short,3,0,3936,373,160,147,507,641,686,804,1102,1705,2953,4841,7284,12100,19374,29505,50129,87240,169609,144250,247096,228786,346636,.,.
JPN,1997,1,short,3,1,142,21,4,4,4,6,9,17,21,38,76,116,150,286,439,692,1134,1628,2627,2489,3049,2899,3866,.,.
JPN,1997,1,short,3,2,38,37,34,34,51,58,78,119,212,461,991,1874,3186,5757,9470,13030,17710,24998,32501,31148,36637,36614,36764,.,.
JPN,1997,1,short,3,3,26,11,3,1,3,5,5,3,7,6,7,16,18,35,63,108,182,374,707,538,1225,1168,1534,.,.
JPN,1997,1,short,3,4,26,8,2,2,3,5,5,11,21,31,59,94,150,249,352,457,845,1400,2557,2132,3858,3519,5700,.,.
JPN,1997,1,short,3,5,0,0,0,0,1,2,3,5,6,12,17,18,26,25,27,40,79,251,783,588,1376,1138,2671,.,.
JPN,1997,1,short,3,6,84,49,12,13,19,20,22,17,21,26,37,43,79,119,186,275,437,617,708,683,783,739,1023,.,.
JPN,1997,1,short,3,7,116,20,5,13,27,47,67,92,151,225,401,646,956,1588,2585,4100,7666,14305,32402,26294,51065,46162,77722,.,.
