country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
RUS,1965,1,short,1,0,473781.78,41252.07,8377.18,6081.66,4734.51,7789.54,8427.67,19610.17,20126.89,27452.74,19279.17,17915.93,33439.33,39802.33,43570.57,41699.58,44901.33,38299.89,28330.05,22691.17,.,.,.,.,.,.
RUS,1965,1,short,1,1,27718.44,1831.55,1225.29,468.48,265.71,258.53,360.3,1331.57,1757.52,2820.33,2160.67,1836.57,3056.85,3173.75,2932.41,1874.86,1269.35,706.79,263.5,124.41,.,.,.,.,.,.
RUS,1965,1,short,1,2,87776.56,112.92,615.69,639.25,521.12,569.12,376.58,948.18,1377.52,3028.14,3167.65,4289.13,10222.36,13329.51,14540.76,12901.2,10624.67,6539.16,2792.86,1180.74,.,.,.,.,.,.
RUS,1965,1,short,1,3,632.41,98.35,56.42,40.23,43.88,37.42,27.16,32.33,21.81,31.75,25.05,11.65,37.05,39.02,32.86,34.09,25.65,27.46,5.19,5.03,.,.,.,.,.,.
RUS,1965,1,short,1,4,942.15,72.23,55.31,28.17,29.62,33.86,13.29,44.17,41.78,70.82,52.97,37.97,64.66,97.09,71.18,90.12,62.85,46.78,14.99,14.28,.,.,.,.,.,.
RUS,1965,1,short,1,5,1697.91,6.98,19.57,66.05,45.8,37.34,40.22,124.03,180.04,253.63,149.97,108.37,138.76,110.9,104.33,100.6,76.14,66.17,37.27,31.74,.,.,.,.,.,.
RUS,1965,1,short,1,6,5083.87,365.15,343.2,278.18,262.36,286.2,232.54,431.38,356.81,403.43,304.89,227.18,327.29,296.6,229.92,198.26,207.48,157.4,100.51,75.1,.,.,.,.,.,.
RUS,1965,1,short,1,7,98146.51,8.24,25.15,98.97,205.53,426.06,391.98,1014.74,1503.02,2822.31,2745.67,3046.89,6452.42,8345.26,10288.98,10914.21,14056.39,13919.79,11693.65,10187.25,.,.,.,.,.,.
RUS,1965,1,short,1,8,50016.54,10.32,3.25,4.44,10.19,28.03,53.44,165.36,304.64,618.93,734.01,933.32,2529.84,3864.07,5593.47,6594.52,8571.57,8094.64,6616.5,5286,.,.,.,.,.,.
RUS,1965,1,short,1,9,14651.26,5.88,5.11,7.41,1.02,11.67,19.96,63.46,102.39,226.93,218.73,239.27,555.85,784.6,1135.37,1356.81,2178.72,2425.83,2500.22,2812.03,.,.,.,.,.,.
RUS,1965,1,short,1,10,22705.77,11135.49,2344.43,355.98,173.75,136.26,79.09,155.45,206.56,386,370.95,428.44,807.98,1103.19,1106.02,1041.98,1082.88,834.84,559.13,397.36,.,.,.,.,.,.
RUS,1965,1,short,1,11,24085.21,105.58,83.74,35.72,38.47,37.09,71.36,159.66,248.56,534.34,564.23,745.49,1636.72,2513.84,3176.62,3288.63,3780.14,3197.73,2271.78,1595.49,.,.,.,.,.,.
RUS,1965,1,short,1,12,14585.32,2313.92,326.13,145.53,109.41,135.08,186.48,479,601.86,923.96,762.04,711.93,1272.63,1323.52,1275.9,1180.38,1156.72,833.99,534.52,312.32,.,.,.,.,.,.
RUS,1965,1,short,1,13,959.28,71.61,35.48,32.05,56.18,62.54,20.32,51.1,57.66,65.96,64.96,54.67,71.93,66.91,65.27,50.27,52.71,33.39,24.32,21.95,.,.,.,.,.,.
RUS,1965,1,short,1,14,5328.6,20.17,57.6,57.91,75.78,139.33,153.28,257.37,285,391.7,271.82,232.93,358.51,350.56,415.02,426.76,571.07,542.93,417.9,302.96,.,.,.,.,.,.
RUS,1965,1,short,1,15,25393.62,24135.32,591.38,257.49,156.34,100.87,28.75,26.74,26.67,10.22,6.6,6.12,6.64,7.36,4.52,4.97,7.34,6.91,6.15,3.23,.,.,.,.,.,.
RUS,1965,1,short,1,16,94058.33,958.36,2589.46,3565.79,2739.31,5490.15,6372.94,14325.63,13055.03,14864.26,7678.97,5006.03,5899.82,4396.15,2597.94,1641.93,1177.63,866.09,491.58,341.27,.,.,.,.,.,.
RUS,1966,1,short,1,0,484483.54,38516.65,7459,6375.06,4773.36,8613.56,7410.73,20771,20276.02,29951.14,22294.82,18764.73,31823.96,42155.1,45840.76,43329.91,44862.87,38824.57,29257.28,23183,.,.,.,.,.,.
RUS,1966,1,short,1,1,26328.45,1701.4,1093.26,419.94,209.93,230.69,287.48,1233.24,1575.77,2676.39,2369.51,1836.26,2617.47,3043.12,2798.84,1908.47,1258.63,663.64,277.84,126.57,.,.,.,.,.,.
RUS,1966,1,short,1,2,88755.07,112.2,596.2,655.78,487.13,628.26,368.55,966.48,1271.68,3231.03,3529.77,4193.88,9486.24,13727.3,14922.06,12961.55,10897.47,6517.01,2919.9,1282.57,.,.,.,.,.,.
RUS,1966,1,short,1,3,679.49,104.84,53.34,42.41,34.95,49.18,27.83,29.05,24.79,33.41,21.29,10.18,34.63,48.65,45.72,34.07,25.03,27.1,10.48,22.55,.,.,.,.,.,.
RUS,1966,1,short,1,4,891.21,63.38,69.14,22.23,28.63,20.79,21.04,41.61,39.77,63.01,64.62,49.14,62.78,85.23,86.33,67.59,48.94,32.82,12.15,12.01,.,.,.,.,.,.
RUS,1966,1,short,1,5,1835.38,9.18,24.26,73.89,52.29,47.03,31.88,127.86,197.41,304.65,209.61,119.61,158.52,112.61,99.56,67.18,61.08,50.22,36.17,52.36,.,.,.,.,.,.
RUS,1966,1,short,1,6,4498.64,381.82,282.18,278.15,249.23,324.19,164.17,332.25,278.39,350.29,308.68,195.36,265.53,297.88,229.8,174.06,145.63,108.56,65.77,66.7,.,.,.,.,.,.
RUS,1966,1,short,1,7,102287.33,5.27,22.86,72.9,200.64,398.3,304.52,1077.73,1580.75,3198.47,3271.75,3445.59,6211.58,9277.29,11284.25,11685.92,13844.53,13887.55,12021.52,10495.92,.,.,.,.,.,.
RUS,1966,1,short,1,8,53167.01,10.34,8.36,6.24,15.54,47.79,62.2,222.36,345.73,715.68,817.4,1054.32,2403.9,4270.92,5905.75,6953.33,8683.26,8782.16,7143.67,5718.06,.,.,.,.,.,.
RUS,1966,1,short,1,9,12739.49,6.81,6.02,0.85,3.92,17.39,14.55,46.56,86.63,185.27,189.21,202.96,466.82,684.41,992.18,1254.63,1826.23,2135.69,2271.44,2347.9,.,.,.,.,.,.
RUS,1966,1,short,1,10,20023.2,9933.79,1675.86,315.74,122.06,105.74,56.05,145.21,174.85,389.83,398.43,356.36,737.99,1010.74,1110.78,1010.89,970.96,726.56,466.85,314.5,.,.,.,.,.,.
RUS,1966,1,short,1,11,25315.28,137.66,91.23,41.16,32.23,47.72,50.06,181.89,254.3,576.32,629.1,744.93,1659.35,2640.66,3389.35,3566.46,3910.31,3293.63,2403.11,1665.81,.,.,.,.,.,.
RUS,1966,1,short,1,12,15058.2,2099.69,295.02,149.44,127.13,159.78,138.78,438.94,518.04,1026.6,863.08,745.25,1249.15,1495.81,1516.2,1289.16,1174.47,914.05,540.82,316.79,.,.,.,.,.,.
RUS,1966,1,short,1,13,907.66,65.45,14.46,37.04,52.32,63.31,24.19,40.77,42.68,65.91,58.67,41.22,57.06,93.32,74.09,51.06,45.04,48.44,18.75,13.88,.,.,.,.,.,.
RUS,1966,1,short,1,14,5665.4,26.17,50.82,72.98,81.98,141.62,130.91,310.22,251.77,381.46,266.71,213.84,359.19,383.27,382.14,494.36,594.7,678.85,493.81,350.61,.,.,.,.,.,.
RUS,1966,1,short,1,15,24035.29,22762.71,565.84,252.97,164.74,124.63,39.06,34.77,11.21,18.37,9.36,6.29,7.99,5.85,3.37,4,7.5,6.48,3.92,6.24,.,.,.,.,.,.
RUS,1966,1,short,1,16,102296.45,1095.92,2610.16,3933.31,2910.66,6207.14,5689.47,15542.02,13622.24,16734.45,9287.61,5549.57,6045.77,4978.05,3000.34,1807.19,1369.06,951.82,571.09,390.55,.,.,.,.,.,.
RUS,1967,1,short,1,0,503116.32,36310.79,6938.19,5828.23,4669.63,9331.64,7600.19,19938.5,21616.31,30715.55,27476.06,20224.49,30776.89,43631.94,49990.72,45280.68,46965.1,40234.59,31212.22,24374.52,.,.,.,.,.,.
RUS,1967,1,short,1,1,26232.85,1564.11,873.54,351.32,206.2,261.95,255.05,1056.37,1578.28,2528.16,2560,1843.93,2529.67,3111.3,2993.42,2086.34,1324.13,672.15,299.98,136.96,.,.,.,.,.,.
RUS,1967,1,short,1,2,90134.38,111.81,559.79,674.51,529.39,636.54,438.01,906.79,1302.45,3069.48,4250.61,4346.55,8933.09,13899.93,15815.34,13228.86,10868.98,6388.38,2966.69,1207.17,.,.,.,.,.,.
RUS,1967,1,short,1,3,643.96,94.47,47.8,29.17,31.54,43.57,33.93,33.56,19.77,39.91,28.73,30.54,36.3,42.88,41.99,28.39,31.67,16.88,8.11,4.77,.,.,.,.,.,.
RUS,1967,1,short,1,4,874.67,63.99,46.72,16.83,21.8,25.46,17.83,43.58,48.61,62.9,61.22,45.54,63.6,77.03,89.18,77.84,55.45,27.85,18.13,11.13,.,.,.,.,.,.
RUS,1967,1,short,1,5,1939.72,8.54,24.7,64.21,50.7,64.11,24.34,146.86,220.57,349.97,262.3,153.98,152.41,142.76,74.88,78.85,39.91,36.71,26.53,17.4,.,.,.,.,.,.
RUS,1967,1,short,1,6,4525.64,343.53,283.11,271.29,249.47,346.97,193.63,357.78,287.4,381.76,334.22,233.57,223.6,281.72,210.08,150.15,120.08,121.84,83.69,51.75,.,.,.,.,.,.
RUS,1967,1,short,1,7,108286,5.06,24.68,104.4,197.74,408.37,318.96,982.3,1622.6,3309.01,4031.31,3694.19,6266.04,9615.06,12291.46,12090,14798.72,14483.8,12908.31,11134.01,.,.,.,.,.,.
